ID,Policy,Source,Category (Safe/Dark)
121,"We don't share information that personally identifies you with advertisers, such as your name or email, unless you ask us to. For example, if you see an ad for a nearby flower shop and select the ""tap to call"" button, we'll connect your call and may share your phone number with the flower shop.",https://policies.google.com/privacy?hl=en,Dark
122,"We use data for analytics and measurement to understand how our services are used. For example, we analyze data about your visits to our sites to do things like optimize product design. And we also use data about the ads you interact with to help advertisers understand the performance of their ad campaigns. We use a variety of tools to do this, including Google Analytics. When you visit sites that use Google Analytics, Google and a Google Analytics customer may link information about your activity from that site with activity from other sites that use our ad services.",https://policies.google.com/privacy?hl=en,Dark
123,"We use information we collect, like your email address, to interact with you directly. For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location. Or we may let you know about upcoming changes or improvements to our services. And if you contact Google, we'll keep a record of your request in order to help solve any issues you might be facing.",https://policies.google.com/privacy?hl=en,Dark
124,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",https://policies.google.com/privacy?hl=en,Dark
125,"We use different technologies to process your information for these purposes. We use automated systems that analyze your content to provide you with things like customized search results, personalized ads, or other features tailored to how you use our services. And we analyze your content to help us detect abuse such as spam, malware, and illegal content. We also use algorithms to recognize patterns in data. For example, Google Translate helps people communicate across languages by detecting common language patterns in phrases you ask it to translate.",https://policies.google.com/privacy?hl=en,Safe
126,"We may combine the information we collect among our services and across your devices for the purposes described above. For example, if you watch videos of guitar players on YouTube, you might see an ad for guitar lessons on a site that uses our ad products. Depending on your account settings, your activity on other sites and apps may be associated with your personal information in order to improve Google's services and the ads delivered by Google.",https://policies.google.com/privacy?hl=en,Dark
127,"If other users already have your email address or other information that identifies you, we may show them your publicly visible Google Account information, such as your name and photo. This helps people identify an email coming from you, for example.",https://policies.google.com/privacy?hl=en,Dark
128,We'll ask for your consent before using your information for a purpose that isn't covered in this Privacy Policy.,https://policies.google.com/privacy?hl=en,Safe
129,"You have choices regarding the information we collect and how it's usedThis section describes key controls for managing your privacy across our services. You can also visit the Privacy Checkup, which provides an opportunity to review and adjust important privacy settings. In addition to these tools, we also offer specific privacy settings in our products - you can learn more in our Product Privacy Guide.",https://policies.google.com/privacy?hl=en,Dark
130,"When you're signed in, you can always review and update information by visiting the services you use. For example, Photos and Drive are both designed to help you manage specific types of content you've saved with Google.",https://policies.google.com/privacy?hl=en,Dark
131,"We also built a place for you to review and control information saved in your Google Account. Your Google Account includes: Privacy controls Activity Controls Decide what types of activity you'd like saved in your account. For example, you can turn on Location History if you want traffic predictions for your daily commute, or you can save your YouTube Watch History to get better video suggestions.",https://policies.google.com/privacy?hl=en,Dark
132,"Manage your preferences about the ads shown to you on Google and on sites and apps that partner with Google to show ads. You can modify your interests, choose whether your personal information is used to make ads more relevant to you, and turn on or off certain advertising services.",https://policies.google.com/privacy?hl=en,Dark
133,Control what others see about you across Google services.,https://policies.google.com/privacy?hl=en,Safe
134,"Choose whether your name and photo appear next to your activity, like reviews and recommendations, that appear in ads.",https://policies.google.com/privacy?hl=en,Safe
135,"If you're a G Suite user, control whom you share information with through your account on Google+.",https://policies.google.com/privacy?hl=en,Safe
136,"My Activity allows you to review and control data that's created when you use Google services, like searches you've done or your visits to Google Play. You can browse by date and by topic, and delete part or all of your activity.",https://policies.google.com/privacy?hl=en,Dark
137,Google Dashboard allows you to manage information associated with specific products.,https://policies.google.com/privacy?hl=en,Safe
138,"Manage your contact information, such as your name, email, and phone number.",https://policies.google.com/privacy?hl=en,Safe
139,"When you're signed out, you can manage information associated with your browser or device, including: Signed-out search personalization: Choose whether your search activity is used to offer you more relevant results and recommendations. YouTube settings: Pause and delete your YouTube Search History and your YouTube Watch History. Ad Settings: Manage your preferences about the ads shown to you on Google and on sites and apps that partner with Google to show ads.",https://policies.google.com/privacy?hl=en,Dark
140,You can export a copy of content in your Google Account if you want to back it up or use it with a service outside of Google.,https://policies.google.com/privacy?hl=en,Dark
141,You can also request to remove content from specific Google services based on applicable law.,https://policies.google.com/privacy?hl=en,Dark
142,"To delete your information, you can: Delete your content from specific Google services Search for and then delete specific items from your account using My Activity Delete specific Google products, including your information associated with those products Delete your entire Google AccountDelete your information And finally, Inactive Account Manager allows you to give someone else access to parts of your Google Account in case you're unexpectedly unable to use your account.",https://policies.google.com/privacy?hl=en,Dark
143,"There are other ways to control the information Google collects whether or not you're signed in to a Google Account, including: Browser settings: For example, you can configure your browser to indicate when Google has set a cookie in your browser. You can also configure your browser to block all cookies from a specific domain or all domains. But remember that our services rely on cookies to function properly, for things like remembering your language preferences.",https://policies.google.com/privacy?hl=en,Dark
144,"Your device may have controls that determine what information we collect. For example, you can modify location settings on your Android device.",https://policies.google.com/privacy?hl=en,Dark
145,"When you share your information Many of our services let you share information with other people, and you have control over how you share. For example, you can share videos on YouTube publicly or you can decide to keep your videos private. Remember, when you share information publicly, your content may become accessible through search engines, including Google Search.",https://policies.google.com/privacy?hl=en,Dark
146,"When you're signed in and interact with some Google services, like leaving comments on a YouTube video or reviewing an app in Play, your name and photo appear next to your activity. We may also display this information in ads depending on your Shared endorsements setting.",https://policies.google.com/privacy?hl=en,Dark
147,"When Google shares your information We do not share your personal information with companies, organizations, or individuals outside of Google except in the following cases: With your consent We'll share personal information outside of Google when we have your consent. For example, if you use Google Home to make a reservation through a booking service, we'll get your permission before sharing your name or phone number with the restaurant. We'll ask for your explicit consent to share any sensitive personal information.",https://policies.google.com/privacy?hl=en,Dark
148,"If you're a student or work for an organization that uses Google services (like G Suite), your domain administrator and resellers who manage your account will have access to your Google Account. They may be able to: Access and retain information stored in your account, like your email View statistics regarding your account, like how many apps you install Change your account password Suspend or terminate your account access Receive your account information in order to satisfy applicable law, regulation, legal process, or enforceable governmental request Restrict your ability to delete or edit your information or your privacy settingsFor external processing We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.",https://policies.google.com/privacy?hl=en,Dark
149,"We will share personal information outside of Google if we have a good-faith belief that access, use, preservation, or disclosure of the information is reasonably necessary to: Meet any applicable law, regulation, legal process, or enforceable governmental request. We share information about the number and type of requests we receive from governments in our Transparency Report. Enforce applicable Terms of Service, including investigation of potential violations. Detect, prevent, or otherwise address fraud, security, or technical issues. Protect against harm to the rights, property or safety of Google, our users, or the public as required or permitted by law.",https://policies.google.com/privacy?hl=en,Dark
150,"We may share non-personally identifiable information publicly and with our partners - like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",https://policies.google.com/privacy?hl=en,Dark
151,"If Google is involved in a merger, acquisition, or sale of assets, we'll continue to ensure the confidentiality of your personal information and give affected users notice before personal information is transferred or becomes subject to a different privacy policy.",https://policies.google.com/privacy?hl=en,Dark
152,"We build security into our services to protect your informationAll Google products are built with strong security features that continuously protect your information. The insights we gain from maintaining our services help us detect and automatically block security threats from ever reaching you. And if we do detect something risky that we think you should know about, we'll notify you and help guide you through steps to stay better protected.",https://policies.google.com/privacy?hl=en,Safe
153,"We work hard to protect you and Google from unauthorized access, alteration, disclosure, or destruction of information we hold, including: We use encryption to keep your data private while in transit We offer a range of security features, like Safe Browsing, Security Checkup, and 2 Step Verification to help you protect your account We review our information collection, storage, and processing practices, including physical security measures, to prevent unauthorized access to our systemsWe restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.",https://policies.google.com/privacy?hl=en,Dark
154,You can export a copy of your information or delete it from your Google Account at any timeYou can export a copy of content in your Google Account if you want to back it up or use it with a service outside of Google.,https://policies.google.com/privacy?hl=en,Dark
155,"To delete your information, you can: Delete your content from specific Google services Search for and then delete specific items from your account using My Activity Delete specific Google products, including your information associated with those products Delete your entire Google AccountDelete your information Retaining your information We retain the data we collect for different periods of time depending on what it is, how we use it, and how you configure your settings: Some data you can delete whenever you like, such as the content you create or upload. You can also delete activity information saved in your account, or choose to have it deleted automatically after a set period of time. Other data is deleted or anonymized automatically after a set period of time, such as advertising data in server logs. We keep some data until you delete your Google Account, such as information about how often you use our services. And some data we retain for longer periods of time when necessary for legitimate business or legal purposes, such as security, fraud and abuse prevention, or financial record-keeping.",https://policies.google.com/privacy?hl=en,Dark
156,"When you delete data, we follow a deletion process to make sure that your data is safely and completely removed from our servers or retained only in anonymized form. We try to ensure that our services protect information from accidental or malicious deletion. Because of this, there may be delays between when you delete something and when copies are deleted from our active and backup systems.",https://policies.google.com/privacy?hl=en,Dark
157,We regularly review this Privacy Policy and make sure that we process your information in ways that comply with it.,https://policies.google.com/privacy?hl=en,Safe
158,"We maintain servers around the world and your information may be processed on servers located outside of the country where you live. Data protection laws vary among countries, with some providing more protection than others. Regardless of where your information is processed, we apply the same protections described in this policy. We also comply with certain legal frameworks relating to the transfer of data, such as the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks.",https://policies.google.com/privacy?hl=en,Dark
159,"When we receive formal written complaints, we respond by contacting the person who made the complaint. We work with the appropriate regulatory authorities, including local data protection authorities, to resolve any complaints regarding the transfer of your data that we cannot resolve with you directly.",https://policies.google.com/privacy?hl=en,Safe
160,The California Consumer Privacy Act (CCPA) requires specific disclosures for California residents.,https://policies.google.com/privacy?hl=en,Safe
161,This Privacy Policy is designed to help you understand how Google handles your information: We explain the categories of information Google collects and the sources of that information in Information Google collects. We explain how Google uses information in Why Google collects data.,https://policies.google.com/privacy?hl=en,Safe
162,We explain when Google may share information in Sharing your information. Google does not sell your personal information.,https://policies.google.com/privacy?hl=en,Dark
163,"The CCPA also provides the right to request information about how Google collects, uses, and discloses your personal information. And it gives you the right to access your information and request that Google delete that information. Finally, the CCPA provides the right to not be discriminated against for exercising your privacy rights.",https://policies.google.com/privacy?hl=en,Dark
164,"We describe the choices you have to manage your privacy and data across Google's services in Your privacy controls. You can exercise your rights by using these controls, which allow you to access, review, update and delete your information, as well as export and download a copy of it. When you use them, we'll validate your request by verifying that you're signed in to your Google Account. If you have questions or requests related to your rights under the CCPA, you (or your authorized agent) can also contact Google.",https://policies.google.com/privacy?hl=en,Dark
165,The CCPA requires a description of data practices using specific categories. This table uses these categories to organize the information in this Privacy Policy.,https://policies.google.com/privacy?hl=en,Safe
166,"Categories of personal information we collect Identifiers such as your name, phone number, and address, as well as unique identifiers tied to the browser, application, or device you're using.",https://policies.google.com/privacy?hl=en,Dark
167,"Demographic information, such as your age, gender and language.Commercial information such as your payment information and a history of purchases you make on Google's services.",https://policies.google.com/privacy?hl=en,Safe
168,"Biometric information if you choose to provide it, such as fingerprints in Google's product development studies.",https://policies.google.com/privacy?hl=en,Safe
169,"Internet, network, and other activity information such as your search terms; views and interactions with content and ads; Chrome browsing history you've synced with your Google Account; information about the interaction of your apps, browsers, and devices with our services (like IP address, crash reports, and system activity); and activity on third-party sites and apps that use our services. You can review and control activity data stored in your Google Account in My Activity.",https://policies.google.com/privacy?hl=en,Dark
170,"Geolocation data, such as may be determined by GPS, IP address, and other data from sensors on or around your device, depending in part on your device and account settings. Learn more about Google's use of location information.",https://policies.google.com/privacy?hl=en,Dark
171,"Audio, electronic, visual and similar information, such as voice and audio information when you use audio features.",https://policies.google.com/privacy?hl=en,Safe
172,"Professional, employment, and education information, such as information you provide or that is maintained through a G Suite account by an organization at which you study or work.",https://policies.google.com/privacy?hl=en,Safe
173,"Other information you create or provide, such as the content you create, upload, or receive (like photos and videos or emails, docs and spreadsheets). Google Dashboard allows you to manage information associated with specific products.",https://policies.google.com/privacy?hl=en,Safe
174,"Inferences drawn from the above, like your ads interest categories.",https://policies.google.com/privacy?hl=en,Safe
175,"Google uses and may disclose information to detect, prevent and respond to security incidents, and for protecting against other malicious, deceptive, fraudulent, or illegal activity. For example, to protect our services, Google may receive or disclose information about IP addresses that malicious actors have compromised.",https://policies.google.com/privacy?hl=en,Dark
176,"Google uses information for analytics and measurement to understand how our services are used, as well as to fulfill obligations to our partners like publishers, advertisers, developers, or rights holders. We may disclose non-personally identifiable information publicly and with these partners, including for auditing purposes.",https://policies.google.com/privacy?hl=en,Dark
177,"Google uses information to ensure our services are working as intended, such as tracking outages or troubleshooting bugs and other issues that you report to us.",https://policies.google.com/privacy?hl=en,Dark
178,"Google uses information to improve our services and to develop new products, features and technologies that benefit our users and the public. For example, we use publicly available information to help train Google's language models and build features like Google Translate.",https://policies.google.com/privacy?hl=en,Safe
179,"Google shares information with service providers to perform services on our behalf, in compliance with our Privacy Policy and other appropriate confidentiality and security measures. For example, we may rely on service providers to help provide customer support.",https://policies.google.com/privacy?hl=en,Dark
180,"Google processes information, including online identifiers and information about your interactions with advertisements, to provide advertising. This keeps Google's services and many of the websites and services you use free of charge. You can control what information we use to show you ads by visiting your ad settings.",https://policies.google.com/privacy?hl=en,Dark
181,"Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. We provide information about the number and type of requests we receive from governments in our Transparency Report.",https://policies.google.com/privacy?hl=en,Safe
182,"This Privacy Policy applies to all of the services offered by Google LLC and its affiliates, including YouTube, Android, and services offered on third-party sites, such as advertising services. This Privacy Policy doesn't apply to services that have separate privacy policies that do not incorporate this Privacy Policy.",https://policies.google.com/privacy?hl=en,Dark
183,"This Privacy Policy doesn't apply to: The information practices of other companies and organizations that advertise our services Services offered by other companies or individuals, including products or sites that may include Google services, be displayed to you in search results, or be linked from our servicesChanges to this policy We change this Privacy Policy from time to time. We will not reduce your rights under this Privacy Policy without your explicit consent. We always indicate the date the last changes were published and we offer access to archived versions for your review. If changes are significant, we'll provide a more prominent notice (including, for certain services, email notification of Privacy Policy changes).",https://policies.google.com/privacy?hl=en,Dark
184,"Some examples of how we combine the information we collect include: When you're signed in to your Google Account and search on Google, you can see search results from the public web, along with relevant information from the content you have in other Google products, like Gmail or Google Calendar. This can include things like the status of your upcoming flights, restaurant, and hotel reservations, or your photos. Learn moreIf you have communicated with someone via Gmail and want to add them to a Google Doc or an event in Google Calendar, Google makes it easy to do so by autocompleting their email address when you start to type in their name. This feature makes it easier to share things with people you know. Learn moreThe Google app can use data that you have stored in other Google products to show you personalized content, depending on your settings. For example, if you have searches stored in your Web & App Activity, the Google app can show you news articles and other information about your interests, like sports scores, based your activity. Learn moreIf you link your Google Account to your Google Home, you can manage your information and get things done through the Google Assistant. For example, you can add events to your Google Calendar or get your schedule for the day, ask for status updates on your upcoming flight, or send information like driving directions to your phone. Learn morecustomized search results For example, when you're signed in to your Google Account and have the Web & App Activity control enabled, you can get more relevant search results that are based on your previous searches and activity from other Google services. You can learn more here. You may also get customized search results even when you're signed out. If you don't want this level of search customization, you can search and browse privately or turn off signed-out search personalization.",https://policies.google.com/privacy?hl=en,Dark
185,"Examples of how we use your information to deliver our services include: We use the IP address assigned to your device to send you the data you requested, such as loading a YouTube video We use unique identifiers stored in cookies on your device to help us authenticate you as the person who should have access to your Google AccountPhotos and videos you upload to Google Photos are used to help you create albums, animations, and other creations that you can share. Learn more A flight confirmation email you receive may be used to create a ""check-in"" button that appears in your GmailWhen you purchase services or physical goods from us, you may provide us information like your shipping address or delivery instructions. We use this information for things like processing, fulfilling, and delivering your order, and to provide support in connection with the product or service you purchase.",https://policies.google.com/privacy?hl=en,Dark
186,"When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action. In certain circumstances, we may also report the violation to appropriate authorities.",https://policies.google.com/privacy?hl=en,Dark
187,we can use information from your devices to help you decide which device you'd like to use to install an app or view a movie you buy from Google Play. We also use this information to help protect your account.,https://policies.google.com/privacy?hl=en,Dark
188,we analyze how people interact with advertising to improve the performance of our ads.,https://policies.google.com/privacy?hl=en,Safe
189,"we continuously monitor our systems to look for problems. And if we find something wrong with a specific feature, reviewing activity information collected before the problem started allows us to fix things more quickly.",https://policies.google.com/privacy?hl=en,Safe
190,"If you use Google's Location services on Android, we can improve the performance of apps that rely on your location, like Google Maps. If you use Google's Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location. You can use your device settings to enable Google Location services. Learn morelegal process, or enforceable governmental request Like other technology and communications companies, Google regularly receives requests from governments and courts around the world to disclose user data. Respect for the privacy and security of data you store with Google underpins our approach to complying with these legal requests. Our legal team reviews each and every request, regardless of type, and we frequently push back when a request appears to be overly broad or doesn't follow the correct process.",https://policies.google.com/privacy?hl=en,Dark
191,"we use cookies to analyze how people interact with our services. And that analysis can help us build better products. For example, it may help us discover that it's taking people too long to complete a certain task or that they have trouble finishing steps at all. We can then redesign that feature and improve the product for everyone.",https://policies.google.com/privacy?hl=en,Dark
192,"Google Analytics relies on first-party cookies, which means the cookies are set by the Google Analytics customer. Using our systems, data generated through Google Analytics can be linked by the Google Analytics customer and by Google to third-party cookies that are related to visits to other websites. For example, an advertiser may want to use its Google Analytics data to create more relevant ads, or to further analyze its traffic. Learn morepartner with Google There are over 2 million non-Google websites and apps that partner with Google to show ads. Learn morepayment information For example, if you add a credit card or other payment method to your Google Account, you can use it to buy things across our services, like apps in the Play Store. We may also ask for other information, like a business tax ID, to help process your payment. In some cases, we may also need to verify your identity and may ask you for information to do this.",https://policies.google.com/privacy?hl=en,Dark
193,"We may also use payment information to verify that you meet age requirements, if, for example, you enter an incorrect birthday indicating you're not old enough to have a Google Account. Learn morepersonalized ads You may also see personalized ads based on information from the advertiser. If you shopped on an advertiser's website, for example, they can use that visit information to show you ads. Learn morephone number If you add your phone number to your account, it can be used for different purposes across Google services, depending on your settings. For example, your phone number can be used to help you access your account if you forget your password, help people find and connect with you, and make the ads you see more relevant to you. Learn moreprotect against abuse For example, information about security threats can help us notify you if we think your account has been compromised (at which point we can help you take steps to protect your account).",https://policies.google.com/privacy?hl=en,Dark
194,we may collect information that's publicly available online or from other public sources to help train Google's language models and build features like Google Translate.,https://policies.google.com/privacy?hl=en,Dark
195,"we use a cookie called 'lbcs' that makes it possible for you to open many Google Docs in one browser. Blocking this cookie would prevent Google Docs from working as expected. Learn moresafety and reliability Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",https://policies.google.com/privacy?hl=en,Safe
196,"Your device may have sensors that can be used to better understand your location and movement. For example, an accelerometer can be used to determine your speed and a gyroscope to figure out your direction of travel.",https://policies.google.com/privacy?hl=en,Dark
197,"The ""last account activity"" feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access. Learn moresensitive categories When showing you personalized ads, we use topics that we think might be of interest to you based on your activity. For example, you may see ads for things like ""Cooking and Recipes"" or ""Air Travel."" We don't use topics or show personalized ads based on sensitive categories like race, religion, sexual orientation, or health. And we require the same from advertisers that use our services.",https://policies.google.com/privacy?hl=en,Dark
198,we operate data centers located around the world to help keep our products continuously available for users.,https://policies.google.com/privacy?hl=en,Safe
199,"Examples of these services include: Google Hangouts, for making domestic and international calls Google Voice, for making calls, sending text messages, and managing voicemail Google Fi, for a phone planshow trends When lots of people start searching for something, it can provide useful information about particular trends at that time. Google Trends samples Google web searches to estimate the popularity of searches over a certain period of time and shares those results publicly in aggregated terms. Learn morespecific Google services For example, you can delete your blog from Blogger or a Google Site you own from Google Sites. You can also delete reviews you've left on apps, games, and other content in the Play Store.",https://policies.google.com/privacy?hl=en,Dark
200,"we allow YouTube creators and advertisers to work with measurement companies to learn about the audience of their YouTube videos or ads, using cookies or similar technologies. Another example is merchants on our shopping pages, who use cookies to understand how many different people see their product listings. Learn more about these partners and how they use your information.",https://policies.google.com/privacy?hl=en,Safe
201,"Your Chrome browsing history is only saved to your account if you've enabled Chrome synchronization with your Google Account. Learn morethe people who matter most to you online For example, when you type an address in the To, Cc, or Bcc field of an email you're composing, Gmail will suggest addresses based on the people you contact most frequently.",https://policies.google.com/privacy?hl=en,Safe
202,we process your information to report use statistics to rights holders about how their content was used in our services. We may also process your information if people search for your name and we display search results for sites containing publicly available information about you.,https://policies.google.com/privacy?hl=en,Dark
203,"we collect information about views and interactions with ads so we can provide aggregated reports to advertisers, like telling them whether we served their ad on a page and whether the ad was likely seen by a viewer. We may also measure other interactions, such as how you move your mouse over an ad or if you interact with the page on which the ad appears.",https://policies.google.com/privacy?hl=en,Dark
204,"your activity on other sites and apps This activity might come from your use of Google services, like from syncing your account with Chrome or your visits to sites and apps that partner with Google. Many websites and apps partner with Google to improve their content and services. For example, a website might use our advertising services (like AdSense) or analytics tools (like Google Analytics), or it might embed other content (such as videos from YouTube). These services may share information about your activity with Google and, depending on your account settings and the products in use (for instance, when a partner uses Google Analytics in conjunction with our advertising services), this data may be associated with your personal information.",https://policies.google.com/privacy?hl=en,Dark
205,"Our privacy policy may change from time to time. If we make any major changes to our policies, we will put a notice on our website or the application. If the change significantly affects registered users, we will send a notice to you by email. If we make any substantial changes in the way we handle children's personal information, we will first notify and obtain the prior consent of a parent or legal guardian.",https://www.starstable.com/en/privacy/,Dark
206,"Your personal data is valuable, and Star Stable appreciates that you rely on us to keep it safe. We constantly strive to earn the trust of our players and parents or legal guardians. So, although we're required to change our data privacy policy to reflect global changes and EU legislation, we also want to take this opportunity to improve user experience. By updating our new policy, we hope that reading and navigating your way around is a more pleasant experience. We aim to do this by making communication simple and speaking in a clear, transparent voice. Our policy updates will make it easier for players and parents to have control over the data you entrust us with, so that we can provide you with a better game and a smarter way for you to manage your data on ""My Account"".",https://www.starstable.com/en/privacy/,Dark
207,We require users to register an account to play Star Stable Online. Star Stable will not collect from a child more personal data than is reasonably required to provide a technically stable and safe online game experience.,https://www.starstable.com/en/privacy/,Safe
208,"By agreeing to the Terms and Conditions, or obtaining parent or legal guardian approval, Star Stable may possibly collect some of the following data: Player email address Parent email address where applicable Purchase data/history Customer I.D and data, such as name and age Account data IP address and log in details3. What do we use the data for? The reason Star Stable store player's personal information is: So that we can create your unique account profile. To identify in which area you live, so that we know which laws and regulations apply to you. To identify the consent age in your area, so that we can help you to get parental/ legal guardian approval if needed. To make sure that you get the right version of the game for your country. So that you can get access to the site and game, in order to progress and get the best possible game experience. So that we can communicate with you about your account. So that we can send you news, if you have opted for this. For us to reach you regarding market offers, if you opted for it.",https://www.starstable.com/en/privacy/,Dark
209,"Actual credit card or payment data is not stored by Star Stable Online but by our international-hosted payment providers. To be able to store information of this nature, we only use regulated providers who conform to the highest level of security.",https://www.starstable.com/en/privacy/,Safe
210,"To follow the EU legislation as well as an increasing Global demand for enhanced data privacy we have updated our data handling processes and will continue delivering improved support to strengthen your personal rights to control how we at Star Stable handle your data4.1 Can I correct the information you have about me?In case you would notice that we have the incorrect information about you, you can update and correct some information under ""My Account"". If you find that you do not have the possibility to update the data you want please contact our Customer Support Team using our web-form.",https://www.starstable.com/en/privacy/,Dark
211,"If you decide that you no longer want to have an account with us you can always send a request to our Customer Support Team using our web-form. As a registered player you can update the consent for restricting us to contact you for Offers and Campaigns and/or contacting you for News and Information using ""My Account"".",https://www.starstable.com/en/privacy/,Dark
212,"We will handle most requests for consent removal, data update or removal or request for information within 30 days. In cases we need to verify your identification and ensure from a data integrity point of view that we are handling your account correctly, it may take up to 60 days. We will notify you if the process will take longer than 30 days.",https://www.starstable.com/en/privacy/,Dark
213,"As a registered player you can request for your old email address to be removed. As a registered parent or legal guardian, you can request for any old email addresses to be deleted or payment methods to be removed.",https://www.starstable.com/en/privacy/,Dark
214,"For safety purposes we securely store and archive old data. This is so it can be used to investigate any complaints or violations of our terms and conditions, or on the off-chance that it has been requested by law enforcement agencies or data protection authorities.",https://www.starstable.com/en/privacy/,Dark
215,Star Stable is under the EU GDPR law considered to be a Data Controller. As part of the law you should be able to move or port out your data to another Data Controller where so is applicable. For Star Stable this is only applicable to the private persons requesting the data since the products and services cannot be transferred to another Company.,https://www.starstable.com/en/privacy/,Safe
216,"To keep our players safe, and actively prevent the exchange of personal information in line with COPPA and General Data Protection Regulation requirements, all in-game communications are filtered and behavior-profiled using technology provided by industry leader CRISP THINKING. All chat and mails are stored securely for investigation purposes should there be any cause for our trained team of moderators to thoroughly examine an interaction (such as a complaint, a violation of our terms of service, or a request for information from a law enforcement agency).",https://www.starstable.com/en/privacy/,Dark
217,Star Stable Online uses so-called cookies on the website in order to provide the user access to certain functions and to obtain information regarding visits to the website.,https://www.starstable.com/en/privacy/,Safe
218,"Session cookies are sent between the user's computer and Star Stable Online's servers in order to keep track of information regarding the user, for example, which user name is used.",https://www.starstable.com/en/privacy/,Dark
219,The information collected via cookies may be linked to personal information we've collected about you.,https://www.starstable.com/en/privacy/,Dark
220,"Anonymized information from permanent cookies is also used for maintaining statistics, regarding the use of the website, to conduct surveys in order to improve the service, or to determine which parts of our services are most popular, so we can make it as user-friendly as possible.",https://www.starstable.com/en/privacy/,Dark
221,"The user can choose whether he or she wishes to accept cookies. By adjusting the web browser, the user may avoid receiving cookies. However, this could cause failure in the function of the service. The method used to block cookies will depend on the web browser used. Consult the ""Help"" or corresponding menu in the web browser for instructions.",https://www.starstable.com/en/privacy/,Dark
222,"Star Stable Online does not advertise any third-party products or services. To allow us to operate as an advertising-free business, our website Star Stable Online sells membership time (subscription) and in-game currency (Star Coins) that can be used to purchase in-game items.",https://www.starstable.com/en/privacy/,Dark
223,"Personal information is not shared with independent third parties for their own marketing purposes. To operate the service, we may make personal and anonymous information available to third parties in these limited circumstances: (1) with vendors who help us operate our website or online service, such as payment processors, (2) with your express consent (or the prior consent of a parent or legal guardian), (3) when we believe it to be required by law, (4) when we believe that it is necessary to protect our rights or property, or (5) to any successor or purchaser in a merger, acquisition, liquidation, dissolution or sale of assets, provided they adhere to the same practices in this policy.",https://www.starstable.com/en/privacy/,Dark
224,"At Star Stable we respect the information you entrust to us and take pride in protecting it from unauthorized access or disclosure. Therefore, we have updated both administrative routines, work constantly with training our staff in data privacy protection, and are constantly updating and improving our electronic solutions to keep your data safe. This includes utilizing Secure Sockets Layer (SSL) software, which encrypts all the personal information you give us, and storing your information behind a firewall designed to block access from outside our network. However, although we always do our utmost to protect your data, no security or encryption method can be completely guaranteed to protect information from hackers or human error.",https://www.starstable.com/en/privacy/,Dark
